particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Concreting, District II Brgy. Road, San Miguel","Rehabilitation or Concreting, District II Brgy. Road, San Miguel",-300-5q,996640,996640,-,996640,996640,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto",-300-5r,24861.02,24861.02,-,24861.02,24861.02,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation of Esperanza Concrete Pavement, San Andres","Rehabilitation of Esperanza Concrete Pavement, San Andres",-300-5s,246620.76,246620.76,-,246620.76,246620.76,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac",-300-5t,988114.57,988114.57,-,988114.57,988114.57,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Restoration, Prov'l Roads and Bridges","Rehabilitation or Restoration, Prov'l Roads and Bridges",-300-5v,753491.87,753491.87,-,753491.87,753491.87,
January-February 20%  2011 Continuing,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Riprapping, San Roque Brgy. Road, Bato","Riprapping, San Roque Brgy. Road, Bato",-300-5w,497880,497880,-,497880,497880,
January-February 20%  2011 Continuing,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation, Gogon Bridge Approach","Rehabilitation, Gogon Bridge Approach",-300-6a,250000,250000,-,250000,250000,
January-February 20%  2011 Continuing,Economic Sector,"Bridges, Spillways and Culverts","Construction, Batong Paloway Spillway, San Andres","Construction, Batong Paloway Spillway, San Andres",-300-6b,2965601.97,2965601.97,-,2965601.97,2965601.97,
January-February 20%  2011 Continuing,Economic Sector,"Bridges, Spillways and Culverts","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel",-300-6d,391666.88,391666.88,-,391666.88,391666.88,
January-February 20%  2011 Continuing,Economic Sector,Erosion and Flood Control Projects,"Construction, Bislig Seawall, San Andres","Construction, Bislig Seawall, San Andres",-300-7a,494410,494410,-,494410,494410,
January-February 20%  2011 Continuing,Economic Sector,Erosion and Flood Control Projects,"Construction, Cabcab Seawall, San Andres","Construction, Cabcab Seawall, San Andres",-300-7c,488531.67,488531.67,-,488531.67,488531.67,
January-February 20%  2011 Continuing,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation of SACES Drainage System, Phase II, SA","Rehabilitation of SACES Drainage System, Phase II, SA",-300-7f,17471.2,17471.2,-,17471.2,17471.2,
January-February 20%  2011 Continuing,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation of Dugui Wala, San Vicente River Control, Virac","Rehabilitation of Dugui Wala, San Vicente River Control, Virac",-300-7h,200000,200000,-,200000,200000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.","Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.",-310,81352.5,81352.5,-,81352.5,81352.5,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Renovation, Youth Center","Renovation, Youth Center",-312,484930.73,484930.73,-,484930.73,484930.73,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,-313,344309.5,344309.5,-,344309.5,344309.5,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Rehabilitation of Municipal Mayor's Office, Caramoran","Rehabilitation of Municipal Mayor's Office, Caramoran",-315,297530,297530,-,297530,297530,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Freshwater Mineral Resources Mgt and Regulation,Freshwater Mineral Resources Mgt and Regulation,-200-16a,85381,85381,-,85381,85381,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),-200-16b,23003,23003,-,23003,23003,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Establishment of Marine Protected Area (MPA),Establishment of Marine Protected Area (MPA),-200-16c,18260,18260,-,18260,18260,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),-300-17a,98540.85,98540.85,-,98540.85,98540.85,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,-200-17b,45763.67,45763.67,-,45763.67,45763.67,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Construction of Orthopedic Building, PHO","Construction of Orthopedic Building, PHO",-300-18a,1000000,1000000,-,1000000,1000000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Construction of Mayngaway Water Tank, San Andres","Construction of Mayngaway Water Tank, San Andres",-320,195339.58,195339.58,-,195339.58,195339.58,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Construction of Purot Stage (Kiosk), Pandan","Construction of Purot Stage (Kiosk), Pandan",8919-300-21,250000,250000,-,250000,250000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Bagumbayan Brgy. Hall, Panganiban","Bagumbayan Brgy. Hall, Panganiban",-322,121504,121504,-,121504,121504,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Concreting Manambrag Brgy. Road, San Andres","Concreting Manambrag Brgy. Road, San Andres",-323,6201,6201,-,6201,6201,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Concreting Codon Brgy Road, San Andres","Concreting Codon Brgy Road, San Andres",-324,6480.94,6480.94,-,6480.94,6480.94,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Concreting Marilima Brgy. Road, Virac","Concreting Marilima Brgy. Road, Virac",-325,6261,6261,-,6261,6261,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Tramline,Tramline,-200-29b,200935.69,200935.69,-,200935.69,200935.69,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Transformer - Capitol,Transformer - Capitol,-230,240000,240000,-,240000,240000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Rehabilitation of Quality Control Laboratory Bldg., PEO","Rehabilitation of Quality Control Laboratory Bldg., PEO",-332,391545,391545,-,391545,391545,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Construction of San Andres Covered Court,Construction of San Andres Covered Court,-333,25298.95,25298.95,-,25298.95,25298.95,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Provincial Counterpart Fund for Health,Provincial Counterpart Fund for Health,-234,230408.75,230408.75,-,230408.75,230408.75,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,other Social Health Programs,other Social Health Programs,-,106841,106841,12000,94841,94841,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Provincial Capitol Compound Offices,Provincial Capitol Compound Offices,-,766487,766487,-,766487,766487,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Establishment of Social Amelioration Center,Establishment of Social Amelioration Center,-,158331.16,158331.16,-,158331.16,158331.16,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,other Environmental Mgt. Programs and Projects,other Environmental Mgt. Programs and Projects,-,188631.21,188631.21,5200,183431.21,183431.21,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Abaca Rehabilitation Project,Abaca Rehabilitation Project,8911-200-1c,107545,107545,-,107545,107545,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Farm Mechanization (4 Tractors),Farm Mechanization (4 Tractors),-300-1i,240000,240000,-,240000,240000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Crab Grow-Out Sites,Crab Grow-Out Sites,-200-2b,35086.27,35086.27,-,35086.27,35086.27,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Tilapia Hatchery,Tilapia Hatchery,-200-2c,23111,23111,-,23111,23111,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Panganiban Demo Fishpond,Panganiban Demo Fishpond,-200-2d,62544.31,62544.31,-,62544.31,62544.31,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Construction of Fish Pen,Construction of Fish Pen,200-2e,21288.4,21288.4,-,21288.4,21288.4,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Rehabilitation or Improvement of Tourism Info. Center,Rehabilitation or Improvement of Tourism Info. Center,8912-200-2,64950.8,64950.8,-,64950.8,64950.8,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Road Opening, FMR, Guinsaanan, Baras","Road Opening, FMR, Guinsaanan, Baras",8919-200-88,100000,100000,-,100000,100000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Purchase of Post Harvest Facilities,Purchase of Post Harvest Facilities,-200-92p,253788,253788,-,253788,253788,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Repair of Irrigation System,Repair of Irrigation System,-200-92q,96176.9,96176.9,-,96176.9,96176.9,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Expansion of Dialysis Center,Expansion of Dialysis Center,-200-94a,500000,500000,-,500000,500000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Prov'l Housing Project,Prov'l Housing Project,-200-94b,1500000,1500000,-,1500000,1500000,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,"Repair of Bugao Elem. Sch., Phase II","Repair of Bugao Elem. Sch., Phase II",-200-94c,287220,287220,-,287220,287220,
January-February 20%  2011 Continuing,General Public Services Sector,General Public Services Sector,Improvement of MRF-Capitol Compound,Improvement of MRF-Capitol Compound,-200-94d,11143,11143,7501.24,3641.76,3641.76,
January-February 20%  2011 Continuing,Total - January- February 2011 Continuing,Total - January- February 2011 Continuing,Total - January- February 2011 Continuing,Total - January- February 2011 Continuing,-,26739249.44,26739249.44,24701.24,26714548.2,26714548.2,
March 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Improvement of JMA District Hosp. (Phase II),Improvement of JMA District Hosp. (Phase II),"8919-300-1a
","1,300,000.00
",-,-,"1,300,000.00
",-,
March 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)","Renovation of Technical Section, PHO Compd (Phase II)",-300-1b,850000,850000,-,850000,850000,
March 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Renov or Rehabilitation of San Miguel RHU,Renov or Rehabilitation of San Miguel RHU,-300-1c,825000,-,-,825000,-,
March 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evacuation Center,","Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evacuation Center,",-300-2c,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Construction of Sch. Drainage of Dororian E or S cum Evacuation Center,","Construction of Sch. Drainage of Dororian E or S cum Evacuation Center,",-300-2e,100000,-,-,100000,-,
March 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Rehabilitation of SACES Computer Bldg., SA","Rehabilitation of SACES Computer Bldg., SA",-300-2h,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),-300-2j,900000,-,-,900000,-,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of District I Water Tank, San Miguel","Construction of District I Water Tank, San Miguel",-300-3a,1000000,-,-,1000000,-,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of Elevated Water Tank, CNHS Virac","Construction of Elevated Water Tank, CNHS Virac",-300-3b,250000,-250000,-,250000,-250000,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan","Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan",-300-4a,130000,-,-,130000,-,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Guinobatan Evacuation Center, Bato","Completion of Guinobatan Evacuation Center, Bato",-300-4b,500000,-500000,4472.13,495527.87,-495527.87,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Taopon Multi-Purpose Hall, Panganiban","Completion of Taopon Multi-Purpose Hall, Panganiban",-300-4c,120000,-,-,120000,-,
March 20% Economic Development Fund 2012,Social Sector,Water System,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban","Bagumbayan Multi-Purpose Hall (Phase III), Panganiban",-300-4d,200000,-,-,200000,-,
March 20% Economic Development Fund 2012,Social Sector,Water System,Construction of San Andres Covered Court (Phase II),Construction of San Andres Covered Court (Phase II),-300-4e,-,-,-,-400000,-,
